uuid,status,date,start_time,end_time,user_uuid,name,code,type
730a6d8c-3708-4269-9e4b-30d33efe7998,CANCELLED,2022-11-09,09:30:00,10:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
35f0638e-3583-4ae9-a943-076407a65ce6,CANCELLED,2022-11-14,17:00:00,18:00:00,84d24c99-a672-4f6c-a13f-cd8a7f4dbda2,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
acafaba5-c559-438e-ac6d-f62906edf0d5,CANCELLED,2022-11-17,09:00:00,11:00:00,47159c81-f059-4775-a76d-bb531f7ad687,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
a2cc9741-75dc-4aba-ac80-80e759f3ff0b,CANCELLED,2022-11-17,16:00:00,18:00:00,0999a934-47a8-4a29-bcd1-0d8437238c68,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
e0cd2f7d-5225-4e63-829b-ffff9df0ba44,CANCELLED,2022-11-11,09:00:00,12:30:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
d5b92644-5029-444d-8f05-d22cab063359,CANCELLED,2022-11-11,16:00:00,18:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
4e3509f8-b9ca-4c93-994c-3d2824138835,CANCELLED,2022-11-14,09:00:00,11:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
37db968d-c484-416d-84f3-549bdca6a8b6,CANCELLED,2022-11-14,11:30:00,12:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
853172ba-4b34-4f26-a9f8-1a829d395096,CANCELLED,2022-11-15,14:00:00,17:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
19ee0fe0-cee6-4dba-8958-5fee81bedc29,CANCELLED,2022-11-15,17:00:00,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
7d94af6d-f989-41b2-b938-d5d7d10a97ab,CANCELLED,2022-11-15,10:30:00,11:30:00,80327d77-43ad-4a7e-9a86-2a7aee8feb3b,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
d5964fe8-2391-4513-adc1-21a5e7e3162f,CANCELLED,2022-11-15,11:00:00,11:30:00,48f21c17-f403-41b0-b09d-b848fb1f5130,PERSEUS,HSO_ABW_ITCD_PERSEUS,MEETING ROOM
3d6a923e-b35b-4c62-b775-65371654f608,CANCELLED,2022-11-16,08:30:00,12:00:00,7dbc1f90-80cf-468a-bf65-0dc28360aa65,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
5965e9a0-6091-4ad0-b87a-7d97cd2132da,CANCELLED,2022-11-16,16:30:00,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
299ba993-d1fe-4797-a564-84fc7c38c319,CANCELLED,2022-11-16,14:30:00,18:00:00,13d2992c-3a76-49eb-810f-8e182059fc03,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
d1fd00d9-9cb4-4dc6-95a6-7f5a8fb96395,CANCELLED,2022-11-18,16:30:00,18:00:00,4b59a3f1-2355-4867-ab35-ddf9085a59b8,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
1b3cf54a-17b4-4940-b245-4079bf19e663,CANCELLED,2022-11-17,14:30:00,16:30:00,705a6537-b8ea-4c4d-be6a-2a2174f2e5b5,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
d5005304-5bad-4ef4-bb62-d8ef9be24e6d,CANCELLED,2022-11-18,11:00:00,13:00:00,4d492cc7-d38b-4efa-aa85-c19a06a69e1b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
