uuid,status,date,start_time,end_time,user_uuid,name,code,type
e44aac85-db90-4a69-af25-dd965e13d97b,CONFIRMED,2022-11-01,10:30:00,12:30:00,e7f9a9c8-ac87-402a-8b01-eefa99f0920f,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
26caa27a-f878-4cf2-a54d-1866b7a625e5,CONFIRMED,2022-11-01,16:30:00,18:00:00,e7f9a9c8-ac87-402a-8b01-eefa99f0920f,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
3a9f8fc0-5446-48a1-9b36-a0bd16d6eb98,CONFIRMED,2022-11-02,14:30:00,15:00:00,705a6537-b8ea-4c4d-be6a-2a2174f2e5b5,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
d064eca2-a41a-4ff2-ae82-bd2ed0e64056,CONFIRMED,2022-11-03,15:00:00,17:30:00,e00f6bed-1b9f-4efe-bbc0-6581382c028c,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
e918dd5c-9e52-461a-a095-04e627089f21,CONFIRMED,2022-11-04,09:00:00,10:00:00,4eafc175-313f-4aab-94a6-5a9f213205b3,Discussion Room 6-1-3,HSO_COLAB_WD_Discussion Room 6-1-3,DISCUSSION ROOM
f012cf38-6adf-4b8f-bdbf-8511d6124460,CONFIRMED,2022-11-04,11:30:00,12:30:00,10746c26-a6b9-49bf-936f-f8105ccb8395,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
4591fbce-d5fe-4f1b-9940-e2781296e156,CONFIRMED,2022-11-07,10:30:00,12:30:00,4989e98e-e3a6-428b-bb87-b7371e733f21,Discussion Room 6-1-3,HSO_COLAB_WD_Discussion Room 6-1-3,DISCUSSION ROOM
9e04b939-5239-485e-a7e9-f79ee0eb588b,CONFIRMED,2022-11-07,09:30:00,20:24:34,3cf239c3-dd70-4bf8-b35e-f5508b64bef8,Discussion Room 9-2-1,HSO_COLAB_WD_Discussion Room 9-2-1,DISCUSSION ROOM
c88e5399-a34e-4135-b5b3-8cf660338a7b,CONFIRMED,2022-11-08,16:00:00,16:30:00,5825120a-310f-4614-98c8-a354068f0353,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
04daf337-60ce-4eff-a838-c73e8371fad4,CONFIRMED,2022-11-08,17:00:00,18:30:00,5825120a-310f-4614-98c8-a354068f0353,Meeting Room 6-1-1,HSO_COLAB_WD_Meeting Room 6-1-1,MEETING ROOM
e875fdf7-4108-4edc-9324-5222390abd24,CONFIRMED,2022-11-09,09:00:00,12:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,Discussion Room 6-1-2,HSO_COLAB_WD_Discussion Room 6-1-2,DISCUSSION ROOM
